评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
23年04月15日 16:40,让A丨走进学校，从小培养孩子们，让他们更强,来自重庆,让A丨走进学校，从小培养孩子们，让他们更强,其他,女
23年04月15日 16:37,"接触的多了 就会懂得更多 未来会更多的创造<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,接触的多了 就会懂得更多 未来会更多的创造[打call][打call],其他,女
23年04月15日 16:30,"<img alt=""[马到成功]"" title=""[马到成功]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b0/mdcg_org.gif"" />赞一个死党",来自上海,[马到成功]赞一个死党,湖南 郴州,男
23年04月15日 16:30,哎呀呀哎呀呀~~~,来自上海,哎呀呀哎呀呀~~~,云南 大理,女
23年04月15日 16:28,确实很重要 未来的应用会越来越多的 我们加油,来自北京,确实很重要 未来的应用会越来越多的 我们加油,辽宁,男
23年04月15日 16:27,"ai技术应该从小抓起，应该给孩子们普及这样的课程<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自陕西,ai技术应该从小抓起，应该给孩子们普及这样的课程[心],陕西 西安,女
23年04月15日 16:27,偶也要参与一下，真心不错呢。,来自河南,偶也要参与一下，真心不错呢。,其他,男
23年04月15日 16:26,喜欢，嘿嘿,来自上海,喜欢，嘿嘿,湖南 湘潭,男
23年04月15日 16:26,为了对得起自己，来赞一下你,来自上海,为了对得起自己，来赞一下你,广东 中山,男
23年04月15日 16:25,不错，分享了,来自上海,不错，分享了,山东 菏泽,女
23年04月15日 16:25,好东西转给大家~~,来自上海,好东西转给大家~~,黑龙江 哈尔滨,女
23年04月15日 16:24,"<img alt=""[威武]"" title=""[威武]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/2018new_weiwu_org.png"" /> 关注了",来自上海,[威武] 关注了,安徽,男
23年04月15日 16:23,从小就开发这种Ai的技术，以便更加的熟练运用,来自北京,从小就开发这种Ai的技术，以便更加的熟练运用,北京,女
23年04月15日 16:23,无意间看见这条微博的，真不错呢。,来自上海,无意间看见这条微博的，真不错呢。,安徽 芜湖,男
23年04月15日 16:22,"<img alt=""[酷]"" title=""[酷]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c4/2018new_ku_org.png"" />",来自上海,[酷],其他,男
23年04月15日 16:22,"看的整个人都不好了，太赞了！<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />",来自河南,看的整个人都不好了，太赞了！[偷笑],其他,男
23年04月15日 16:22,给我力量啊！一定要活的有尊严！,来自上海,给我力量啊！一定要活的有尊严！,广东 广州,男
23年04月15日 16:22,今年的好事情就是多呀,来自浙江,今年的好事情就是多呀,山西 晋中,女
23年04月15日 16:21,赞一个，为了自己,来自浙江,赞一个，为了自己,山西 太原,女
23年04月15日 16:20,大力发展AI技术，可以让更多人掌握科技的力量,来自北京,大力发展AI技术，可以让更多人掌握科技的力量,北京,女
23年04月15日 16:27,"科技的力量吧 在未来的应用会越来越多的 我们加油<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,科技的力量吧 在未来的应用会越来越多的 我们加油[打call][打call],辽宁,男
23年04月15日 16:38,"真的是 AI技术真的越来越强大了<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />潜力会更大的呀<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,真的是 AI技术真的越来越强大了[打call]潜力会更大的呀[打call],其他,女
23年04月15日 16:23,是我喜欢的,来自上海,是我喜欢的,上海 普陀区,男
23年04月15日 16:21,诶呦喂还有这么好的事啊，真是太好了,来自上海,诶呦喂还有这么好的事啊，真是太好了,上海 闵行区,男
23年04月15日 16:18,很给力，必须得特别 围观,来自上海,很给力，必须得特别 围观,上海 宝山区,女
23年04月15日 16:35,科技引领未来，AI发展是势不可挡的趋势,来自山西,科技引领未来，AI发展是势不可挡的趋势,山西 忻州,女
23年04月15日 16:27,"<img alt=""[威武]"" title=""[威武]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/2018new_weiwu_org.png"" /> 关注了",来自浙江,[威武] 关注了,山西 太原,女
23年04月15日 16:26,科技太强大了，智能化Al已经走进了学校,来自重庆,科技太强大了，智能化Al已经走进了学校,其他,女
23年04月15日 16:26,"AI走进课堂，走进我们生活，应该是时代趋势<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自陕西,AI走进课堂，走进我们生活，应该是时代趋势[赞],陕西 西安,女
23年04月15日 16:25,手机也要支持，写的太好了！,来自上海,手机也要支持，写的太好了！,安徽 宿州,女
23年04月15日 16:25,一个字--赞赞！！！,来自上海,一个字--赞赞！！！,海外 英国,男
23年04月15日 16:24,儿子说必须让我点赞，所以我来了。,来自上海,儿子说必须让我点赞，所以我来了。,四川 成都,男
23年04月15日 16:24,希望继续加油哦，不错！有了梦想才能去开启未来,来自上海,希望继续加油哦，不错！有了梦想才能去开启未来,广西 南宁,男
23年04月15日 16:23,智能化的发展，要从小培养这种先进的人才,来自北京,智能化的发展，要从小培养这种先进的人才,北京,女
23年04月15日 16:23,我路过，顺便顶一下，嘿嘿,来自上海,我路过，顺便顶一下，嘿嘿,安徽 阜阳,女
23年04月15日 16:19,高科技的运用，可以让生活更加的便捷,来自北京,高科技的运用，可以让生活更加的便捷,北京,女
23年04月15日 16:19,真招人稀罕，我就稀罕你哈,来自上海,真招人稀罕，我就稀罕你哈,广东 广州,男
23年04月15日 16:18,"<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />满有意义的嘛，我喜欢。",来自上海,[可爱]满有意义的嘛，我喜欢。,广东 广州,男
23年04月16日 03:27,让我先焦虑,来自德国,让我先焦虑,其他,女
23年04月15日 23:30,"哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自辽宁,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈[二哈],其他,女
23年04月15日 16:30,"我一向是很支持的。。。MUA~<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自上海,我一向是很支持的。。。MUA~[心],河南 郑州,男
23年04月15日 16:26,先给免费点一万个赞，赞！嘿嘿,来自上海,先给免费点一万个赞，赞！嘿嘿,广东 广州,女
23年04月15日 16:24,有点意思，可以 围观一下。,来自上海,有点意思，可以 围观一下。,海外 瑞典,男
23年04月15日 16:23,很给力,来自新疆,很给力,广东 汕尾,男
23年04月15日 16:26,"<img alt=""[可怜]"" title=""[可怜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/96/2018new_kelian_org.png"" />感受正能量",来自上海,[可怜]感受正能量,湖南,男
23年04月15日 16:37,这是一个重大的里程碑，让人工智能走进了学校,来自重庆,这是一个重大的里程碑，让人工智能走进了学校,重庆,女
23年04月15日 16:36,"人工智能是未来的发展趋势，ai走进小学课堂非常给力<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自山西,人工智能是未来的发展趋势，ai走进小学课堂非常给力[打call],山西,男
23年04月15日 16:30,这个太棒了，走进了学校让孩子们从小都接触未来会更好,来自重庆,这个太棒了，走进了学校让孩子们从小都接触未来会更好,其他,女
23年04月15日 16:30,不错不?,来自上海,不错不?,河南 新乡,男
23年04月15日 16:30,"帮转了！<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自上海,帮转了！[爱你],北京 东城区,男
23年04月15日 16:30,爱你爱你爱你,来自上海,爱你爱你爱你,湖南 湘潭,女
23年04月15日 16:29,好微博， 围观下 [din抓狂],来自上海,好微博， 围观下 [din抓狂],江苏 南京,男
23年04月15日 16:29,原来还可以这样的,来自上海,原来还可以这样的,湖南 湘潭,男
23年04月15日 16:29,"现在让我们小学生多多接触 可以更好的去创造 <img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自北京,现在让我们小学生多多接触 可以更好的去创造 [打call][打call][打call],辽宁,男
23年04月15日 16:29,"这所小学太厉害，围绕ai人工智能给孩子们开展好多课程<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自陕西,这所小学太厉害，围绕ai人工智能给孩子们开展好多课程[送花花],陕西 西安,女
23年04月15日 16:28,好温馨的小段子！！,来自上海,好温馨的小段子！！,北京,女
23年04月15日 16:28,看了看还是支持一下吧,来自浙江,看了看还是支持一下吧,山西 太原,女
23年04月15日 16:27,感觉现在很多事情确实是这样。,来自上海,感觉现在很多事情确实是这样。,安徽,男
23年04月15日 16:27,顶起来啊，很用心哦，给多个赞赞啦。,来自浙江,顶起来啊，很用心哦，给多个赞赞啦。,山西 晋中,女
23年04月15日 16:27,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /> 围观就是力量！",来自上海,[赞] 围观就是力量！,吉林 松原,男
23年04月15日 16:26,太给力了！,来自上海,太给力了！,海外 英国,男
23年04月15日 16:26,感觉还是不错的。,来自上海,感觉还是不错的。,江苏,女
23年04月15日 16:26,赞一个，为了自己,来自上海,赞一个，为了自己,北京 海淀区,女
23年04月15日 16:25,让我听到了久违的快乐啊[欢乐购车季],来自上海,让我听到了久违的快乐啊[欢乐购车季],湖南,女
23年04月15日 16:24,这样的技术是人类里程碑的一个新的开端,来自北京,这样的技术是人类里程碑的一个新的开端,北京,女
23年04月15日 16:23,希望继续加油哦，不错！有了梦想才能去开启未来,来自上海,希望继续加油哦，不错！有了梦想才能去开启未来,山东 青岛,女
23年04月15日 16:23,经典,来自上海,经典,北京 朝阳区,女
23年04月15日 16:22,我是不会告诉你我正在看哦,来自上海,我是不会告诉你我正在看哦,其他,女
23年04月15日 16:21,AI的技术发展已经逐步成为未来社会的一个主体,来自北京,AI的技术发展已经逐步成为未来社会的一个主体,北京,女
23年04月15日 22:18,"你以为的科技造福人类：结束996，每人每天6小时加双休享受生活。真实的科技造福人类：裁掉一堆人留下高端耗材继续996(你不干有的是人干)，资本家别墅变成飞天别墅<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自广西,你以为的科技造福人类：结束996，每人每天6小时加双休享受生活。真实的科技造福人类：裁掉一堆人留下高端耗材继续996(你不干有的是人干)，资本家别墅变成飞天别墅[doge],其他,女
23年04月16日 21:22,"回复<a href=/n/一切就绪33 usercard=""name=@一切就绪33"">@一切就绪33</a>:替代就替代呗，替代我就出去旅游了，又不差钱",来自辽宁,回复@一切就绪33:替代就替代呗，替代我就出去旅游了，又不差钱,河南 郑州,男
23年04月16日 17:09,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:你觉得资本家认为五个人一周一天班省钱还是一个人一周五天班省钱",来自辽宁,回复@霸壆奔儿:你觉得资本家认为五个人一周一天班省钱还是一个人一周五天班省钱,湖南 张家界,女
23年04月16日 02:17,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:你说为什么不能？你是老板选哪个？",来自四川,回复@霸壆奔儿:你说为什么不能？你是老板选哪个？,海外,男
23年04月15日 22:11,"<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自福建,[笑cry],福建 福州,女
23年04月15日 21:07,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:我只知道你老板会出手的[交稅]",来自广东,回复@霸壆奔儿:我只知道你老板会出手的[交稅],其他,女
23年04月15日 19:29,"回复<a href=/n/民不造 usercard=""name=@民不造"">@民不造</a>:然而我们老板一周上七天班",来自辽宁,回复@民不造:然而我们老板一周上七天班,河南 郑州,男
23年04月15日 19:15,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:因为你不是老板",来自广东,回复@霸壆奔儿:因为你不是老板,广东,女
23年04月15日 18:31,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:我用的是champ软件里的AI配合速攻PPT做的",来自辽宁,回复@霸壆奔儿:我用的是champ软件里的AI配合速攻PPT做的,河南 郑州,男
23年04月15日 18:30,"回复<a href=/n/杀死一吨知更鸟 usercard=""name=@杀死一吨知更鸟"">@杀死一吨知更鸟</a>:我干的比以前快你猜我轻松没轻松<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />",来自辽宁,回复@杀死一吨知更鸟:我干的比以前快你猜我轻松没轻松[太开心],河南 郑州,男
23年04月15日 18:07,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:哇，那工作轻松了吗，工资涨了吗<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />",来自广东,回复@霸壆奔儿:哇，那工作轻松了吗，工资涨了吗[偷笑],其他,女
23年04月15日 18:07,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:可以推荐一下你做ppt的工具吗，我做ppt做麻了<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自湖南,回复@霸壆奔儿:可以推荐一下你做ppt的工具吗，我做ppt做麻了[二哈],湖南,女
23年04月15日 17:34,"回复<a href=/n/阿奎罗跟比达尔是两条狗 usercard=""name=@阿奎罗跟比达尔是两条狗"">@阿奎罗跟比达尔是两条狗</a>:我就是学英语的<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[揣手]"" title=""[揣手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2022_chuaishou_org.png"" />",来自四川,回复@阿奎罗跟比达尔是两条狗:我就是学英语的[微笑][嘻嘻][揣手],北京,女
23年04月15日 17:03,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:PPT制作有没有网站或者软件推荐呢",来自四川,回复@霸壆奔儿:PPT制作有没有网站或者软件推荐呢,其他,女
23年04月15日 17:01,"回复<a href=/n/阿奎罗跟比达尔是两条狗 usercard=""name=@阿奎罗跟比达尔是两条狗"">@阿奎罗跟比达尔是两条狗</a>:我们公司以前有一批兼职翻译，现在准备慢慢开掉了。。。",来自广东,回复@阿奎罗跟比达尔是两条狗:我们公司以前有一批兼职翻译，现在准备慢慢开掉了。。。,广东 深圳,女
23年04月15日 16:51,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />工地搬砖的就不怕了，缺人的紧",来自江西,[doge]工地搬砖的就不怕了，缺人的紧,江西 南昌,男
23年04月15日 16:31,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:哥，推一下软件吧<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自陕西,回复@霸壆奔儿:哥，推一下软件吧[泪],陕西 西安,男
23年04月15日 16:21,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:教下我可以吗，用啥软件啊",来自四川,回复@霸壆奔儿:教下我可以吗，用啥软件啊,四川 成都,女
23年04月15日 16:19,"回复<a href=/n/最棒棒的设计 usercard=""name=@最棒棒的设计"">@最棒棒的设计</a>:就是很省事啊，我觉得AI甚至可以说是脑力劳动的蒸汽机了",来自辽宁,回复@最棒棒的设计:就是很省事啊，我觉得AI甚至可以说是脑力劳动的蒸汽机了,河南 郑州,男
23年04月15日 15:44,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:所噶，那倒是省了不少时间<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,回复@霸壆奔儿:所噶，那倒是省了不少时间[doge],上海,男
23年04月15日 15:26,"回复<a href=/n/这名字我想三天呢 usercard=""name=@这名字我想三天呢"">@这名字我想三天呢</a>:打螺丝你最快是吧<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自辽宁,回复@这名字我想三天呢:打螺丝你最快是吧[doge],河南 郑州,男
23年04月15日 15:25,"回复<a href=/n/阿奎罗跟比达尔是两条狗 usercard=""name=@阿奎罗跟比达尔是两条狗"">@阿奎罗跟比达尔是两条狗</a>:机械类表示丝毫不慌<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江苏,回复@阿奎罗跟比达尔是两条狗:机械类表示丝毫不慌[doge],江苏 常州,男
23年04月15日 15:25,"回复<a href=/n/最棒棒的设计 usercard=""name=@最棒棒的设计"">@最棒棒的设计</a>:以前PPT是一张一张做，现在直接AI配合一个软件自动生成，我稍微改一下就行",来自辽宁,回复@最棒棒的设计:以前PPT是一张一张做，现在直接AI配合一个软件自动生成，我稍微改一下就行,河南 郑州,男
23年04月15日 15:24,"回复<a href=/n/最棒棒的设计 usercard=""name=@最棒棒的设计"">@最棒棒的设计</a>:做网站前端和乙方PPT，5倍有点夸张，但就那意思吧",来自辽宁,回复@最棒棒的设计:做网站前端和乙方PPT，5倍有点夸张，但就那意思吧,河南 郑州,男
23年04月15日 15:22,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:你好，能好奇一下什么工作么？五倍可不小<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,回复@霸壆奔儿:你好，能好奇一下什么工作么？五倍可不小[doge],上海,男
23年04月15日 15:22,"回复<a href=/n/小夫我要进来了w usercard=""name=@小夫我要进来了w"">@小夫我要进来了w</a>:为什么不能是一周上一天班<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />",来自辽宁,回复@小夫我要进来了w:为什么不能是一周上一天班[思考],河南 郑州,男
23年04月15日 15:21,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:然后老板直接开了另外四个",来自辽宁,回复@霸壆奔儿:然后老板直接开了另外四个,湖南 张家界,女
23年04月15日 14:34,"回复<a href=/n/阿奎罗跟比达尔是两条狗 usercard=""name=@阿奎罗跟比达尔是两条狗"">@阿奎罗跟比达尔是两条狗</a>:确实会让专业差距急剧降低",来自辽宁,回复@阿奎罗跟比达尔是两条狗:确实会让专业差距急剧降低,河南 郑州,男
23年04月15日 14:30,"回复<a href=/n/霸壆奔儿 usercard=""name=@霸壆奔儿"">@霸壆奔儿</a>:那是专业没被波及到而已，像文职翻译类，绘画类，已经遍地哀嚎了。",来自广东,回复@霸壆奔儿:那是专业没被波及到而已，像文职翻译类，绘画类，已经遍地哀嚎了。,其他,男
23年04月15日 14:23,最后都能适应，我现在用AI干活比以前快五倍,来自辽宁,最后都能适应，我现在用AI干活比以前快五倍,河南 郑州,男
23年04月15日 21:59,"回复<a href=/n/CemeteryAdministrator usercard=""name=@CemeteryAdministrator"">@CemeteryAdministrator</a>:有点异想天开了哥们，现在主流的几个ai论都在强调ai作为资本主义再生产的工具，有句话说的特别好&quot;ai并不能解放劳动，而且解放资本&quot;",来自湖北,"回复@CemeteryAdministrator:有点异想天开了哥们，现在主流的几个ai论都在强调ai作为资本主义再生产的工具，有句话说的特别好""ai并不能解放劳动，而且解放资本""",河北,男
23年04月15日 19:29,AL不定和人谁厉害,来自河南,AL不定和人谁厉害,其他,男
23年04月15日 19:13,"回复 <a href=/n/CemeteryAdministrator usercard=""name=@CemeteryAdministrator"">@CemeteryAdministrator</a>:妈呀看这不懂装懂的样子",来自四川,回复 @CemeteryAdministrator:妈呀看这不懂装懂的样子,四川 德阳,男
23年04月15日 17:29,"回复<a href=/n/花和尚酸秀才 usercard=""name=@花和尚酸秀才"">@花和尚酸秀才</a>:现在上层人类还是需要中下层打工仔的，未来就不需要了",来自贵州,回复@花和尚酸秀才:现在上层人类还是需要中下层打工仔的，未来就不需要了,贵州,男
23年04月15日 17:28,"回复<a href=/n/CemeteryAdministrator usercard=""name=@CemeteryAdministrator"">@CemeteryAdministrator</a>:全世界还是会有几个人有管理权限的。另外，为啥ai需要人类当工具？ai本身就是被当成最强的工具来用的，它需要人类干啥？需要吗人类吗？<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自贵州,回复@CemeteryAdministrator:全世界还是会有几个人有管理权限的。另外，为啥ai需要人类当工具？ai本身就是被当成最强的工具来用的，它需要人类干啥？需要吗人类吗？[微笑],贵州,男
23年04月15日 17:26,本来社会结构成立后少数人拿捏大部分人。随遇而安知足常乐，让自己活的淡然简单点。,来自上海,本来社会结构成立后少数人拿捏大部分人。随遇而安知足常乐，让自己活的淡然简单点。,上海 浦东新区,男
23年04月15日 22:28,现在不是有挺多招Ai画师的吗，姐妹可以去学学Ai,来自广西,现在不是有挺多招Ai画师的吗，姐妹可以去学学Ai,其他,女
23年04月15日 20:38,"回复<a href=/n/肆无忌惮_健陀多 usercard=""name=@肆无忌惮_健陀多"">@肆无忌惮_健陀多</a>:嗯。",来自北京,回复@肆无忌惮_健陀多:嗯。,北京,女
23年04月15日 19:52,加油,来自山东,加油,其他,女
23年04月15日 16:31,"怎么了<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自陕西,怎么了[泪],陕西 西安,男
23年04月30日 22:30,没事，年轻人工作个半年一年的就醒悟了,来自云南,没事，年轻人工作个半年一年的就醒悟了,山西,女
23年04月17日 23:46,没事，年轻人工作个半年一年的就醒悟了,来自重庆,没事，年轻人工作个半年一年的就醒悟了,山西,女
23年04月17日 12:27,不然呢,来自贵州,不然呢,其他,女
23年04月16日 16:24,出生在底特律的小黑孩被教育怎么混帮派,来自浙江,出生在底特律的小黑孩被教育怎么混帮派,浙江 杭州,男
23年04月15日 22:41,"回复<a href=/n/时来追 usercard=""name=@时来追"">@时来追</a>:我要是有五百万我就不想挣钱了，直接辞职去干想干的",来自天津,回复@时来追:我要是有五百万我就不想挣钱了，直接辞职去干想干的,其他,男
23年04月15日 22:33,"回复<a href=/n/江湖小窒息 usercard=""name=@江湖小窒息"">@江湖小窒息</a>:您怎么思考都没毛病，社会进步的第一要素就是思考多元化",来自天津,回复@江湖小窒息:您怎么思考都没毛病，社会进步的第一要素就是思考多元化,天津,男
23年04月15日 22:09,我寻思没毛病啊，人就是得先学会生存立足啊,来自四川,我寻思没毛病啊，人就是得先学会生存立足啊,其他,男
23年04月15日 18:21,"回复<a href=/n/埃菲尔塔尖的晨米 usercard=""name=@埃菲尔塔尖的晨米"">@埃菲尔塔尖的晨米</a>:Ai也许可以替代人类，我国的财团不会让Ai替代流水线，因为国家不需要闲人，闲人多了就乱了，财团背后的那些人该慌了。",来自天津,回复@埃菲尔塔尖的晨米:Ai也许可以替代人类，我国的财团不会让Ai替代流水线，因为国家不需要闲人，闲人多了就乱了，财团背后的那些人该慌了。,天津,男
23年04月15日 17:24,AI明明可以解放很多人的双手，用同等的价值创造，供养更多的人，让那些人能去做自己喜欢的事情，但现在却成了利益的挤兑方,来自浙江,AI明明可以解放很多人的双手，用同等的价值创造，供养更多的人，让那些人能去做自己喜欢的事情，但现在却成了利益的挤兑方,其他,女
23年04月15日 17:19,小学不该考虑这么多。,来自黑龙江,小学不该考虑这么多。,黑龙江 鸡西,男
23年04月15日 17:11,"回复<a href=/n/銀河里的星星星 usercard=""name=@銀河里的星星星"">@銀河里的星星星</a>:确实不至于，我说的太过了。",来自广东,回复@銀河里的星星星:确实不至于，我说的太过了。,山东,女
23年04月15日 17:10,教育需要改革，Al的一个重要目的就是用机器劳动来替代人类这种工资劳动。模仿的与其说是人类，不如说是工厂里打螺丝的行为。以前的教育模式显然无法匹配这种发展。,来自四川,教育需要改革，Al的一个重要目的就是用机器劳动来替代人类这种工资劳动。模仿的与其说是人类，不如说是工厂里打螺丝的行为。以前的教育模式显然无法匹配这种发展。,其他,男
23年04月15日 16:35,"得了吧，网上百分之99都是说国家培养你教你要有奉献精神是为了噶韭菜，所以你终极目的是要躺平赚钱，不寒碜。<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自湖北,得了吧，网上百分之99都是说国家培养你教你要有奉献精神是为了噶韭菜，所以你终极目的是要躺平赚钱，不寒碜。[doge],湖北,男
23年04月15日 16:22,"向钱看向厚赚，赚到钱就这个<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自山西,向钱看向厚赚，赚到钱就这个[赞],天津 塘沽区,女
23年04月15日 16:12,"因为我们是发展中国家<img alt=""[笑而不语]"" title=""[笑而不语]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2d/2018new_xiaoerbuyu_org.png"" />我们还不够有钱，你所看到的西方更高更美好的追求都建立在丰富甚至过剩的浪费的物质基础上",来自贵州,因为我们是发展中国家[笑而不语]我们还不够有钱，你所看到的西方更高更美好的追求都建立在丰富甚至过剩的浪费的物质基础上,贵州,男
