评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别,情感分析
24年08月14日 18:55,这个活动太适合我了,来自江苏,这个活动太适合我了,北京 东城区,女,0.53933835
24年08月14日 18:55,我觉得AI如果能更有情感，更能满足用户的个性化需求就好了,来自安徽,我觉得AI如果能更有情感，更能满足用户的个性化需求就好了,北京 东城区,女,0.97778942
24年08月14日 18:52,这个活动听起来好有趣,来自辽宁,这个活动听起来好有趣,北京 东城区,女,0.925348482
24年08月14日 18:48,这个AI会不会像真人一样会发脾气啊,来自广东,这个AI会不会像真人一样会发脾气啊,北京 东城区,女,0.5363779
24年08月14日 18:47,好奇如果约的人是个学霸我能不能学到知识,来自贵州,好奇如果约的人是个学霸我能不能学到知识,北京 东城区,女,0.982218778
24年08月14日 18:46,好奇AI聊天是什么感觉,来自云南,好奇AI聊天是什么感觉,北京 东城区,女,0.635116512
24年08月14日 18:43,"我愿意<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自云南,我愿意[doge],北京 东城区,女,0.5
24年08月14日 18:43,好奇AI的聊天风格,来自贵州,好奇AI的聊天风格,北京 东城区,女,0.743984342
24年08月14日 18:42,这AI怎么收费啊,来自江西,这AI怎么收费啊,北京 东城区,女,0.262308687
24年08月14日 18:42,如果能见到自己喜欢的明星AI，当然是最佳选择,来自福建,如果能见到自己喜欢的明星AI，当然是最佳选择,北京 东城区,女,0.921163004
24年08月14日 18:40,想知道和人形屏幕恋爱是什么感觉,来自江苏,想知道和人形屏幕恋爱是什么感觉,北京 东城区,女,0.864995712
24年08月14日 18:40,最近有点寂寞,来自贵州,最近有点寂寞,北京,女,0.945762214
24年08月14日 18:40,我也来参加！看看能不能找到和我一起打游戏的人,来自广东,我也来参加！看看能不能找到和我一起打游戏的人,北京 东城区,女,0.878766247
24年08月14日 18:33,这个活动好好玩,来自广东,这个活动好好玩,北京 东城区,女,0.907638606
24年08月14日 18:26,AI如果能拥有情感，那我们就会更加容易沟通,来自广东,AI如果能拥有情感，那我们就会更加容易沟通,北京 东城区,女,0.984289947
24年08月14日 18:25,想了解一下这个ai是怎么理解浪漫的,来自云南,想了解一下这个ai是怎么理解浪漫的,北京 东城区,女,0.893717611
24年08月14日 18:25,哈哈！这个纸片人是会讲话还是只会释放音乐电影什么的啊,来自辽宁,哈哈！这个纸片人是会讲话还是只会释放音乐电影什么的啊,其他,女,0.803552242
24年08月14日 18:24,听起来很有未来感,来自江西,听起来很有未来感,北京 东城区,女,0.978058928
24年08月14日 18:23,AI当对象好高级哎,来自天津,AI当对象好高级哎,北京,女,0.797247545
24年08月14日 18:22,感觉挺有新意的,来自辽宁,感觉挺有新意的,北京 东城区,女,0.619582716
24年08月14日 18:18,这个AI能像真人一样互动嘛,来自江西,这个AI能像真人一样互动嘛,北京 东城区,女,0.954136537
24年08月14日 18:15,如果真能实现爱情理想，那这五百块值得,来自江苏,如果真能实现爱情理想，那这五百块值得,北京 东城区,女,0.861743959
24年08月14日 18:15,看这个活动的介绍感觉好有趣,来自江苏,看这个活动的介绍感觉好有趣,北京 东城区,女,0.948427091
24年08月14日 18:14,这ai是怎么知道我喜欢谁的,来自江苏,这ai是怎么知道我喜欢谁的,北京 东城区,女,0.676929349
24年08月14日 18:13,有没有可能未来的恋人都是 ai,来自云南,有没有可能未来的恋人都是 ai,北京 东城区,女,0.799094678
24年08月14日 18:11,AI会不会觉得我跟它比起来更笨,来自辽宁,AI会不会觉得我跟它比起来更笨,北京 东城区,女,0.169936043
24年08月14日 18:09,这个AI咋知道我喜欢啥类型的妹子呢,来自江苏,这个AI咋知道我喜欢啥类型的妹子呢,北京 东城区,女,0.846214497
24年08月14日 18:07,有没有可能以后恋爱对象都是ai呢,来自辽宁,有没有可能以后恋爱对象都是ai呢,北京 东城区,女,0.931716975
24年08月14日 18:07,500元和纸片人约会，感觉像游戏世界😆,来自江西,500元和纸片人约会，感觉像游戏世界😆,北京 东城区,女,0.824469014
24年08月14日 18:06,AI会记住我对它的好感度嘛,来自辽宁,AI会记住我对它的好感度嘛,北京 东城区,女,0.317615474
24年08月14日 18:06,哇！我还真想和AI谈谈天,来自安徽,哇！我还真想和AI谈谈天,北京 东城区,女,0.265931106
24年08月14日 18:06,如果真能和AI恋爱就好了,来自福建,如果真能和AI恋爱就好了,北京 东城区,女,0.90039586
24年08月14日 18:05,这样的AI真的是太厉害了，希望能早点普及到我们的生活当中来,来自四川,这样的AI真的是太厉害了，希望能早点普及到我们的生活当中来,北京,女,0.983678221
24年08月14日 18:04,看很多帅哥美女一起玩儿感觉会很有意思,来自安徽,看很多帅哥美女一起玩儿感觉会很有意思,北京 东城区,女,0.98263052
24年08月14日 12:26,估计以后会流行起来吧,来自辽宁,估计以后会流行起来吧,北京 东城区,女,0.388982356
24年08月14日 12:25,从搜索引擎到AI搜索，互联网正在经历一次重大变革,来自贵州,从搜索引擎到AI搜索，互联网正在经历一次重大变革,北京,女,0.99987221
24年08月14日 12:23,🔍 AI搜索真的太智能了，找信息速度惊人！期待将来更多应用！📈,来自山东,🔍 AI搜索真的太智能了，找信息速度惊人！期待将来更多应用！📈,北京 东城区,女,0.878917874
24年08月14日 12:21,AI搜索领域的竞争越来越激烈，各大厂商都在抢占市场份额,来自江西,AI搜索领域的竞争越来越激烈，各大厂商都在抢占市场份额,北京 东城区,女,0.991806825
24年08月14日 12:20,AI搜索的发展不仅取决于技术，也取决于用户的需求和体验,来自广东,AI搜索的发展不仅取决于技术，也取决于用户的需求和体验,北京 东城区,女,0.988320568
24年08月14日 12:11,AI搜索引擎有望成为未来搜索平台的颠覆者,来自福建,AI搜索引擎有望成为未来搜索平台的颠覆者,北京 东城区,女,0.99991255
24年08月14日 12:10,AI搜索引擎将改变人们获取信息的方式，变得更像大脑,来自安徽,AI搜索引擎将改变人们获取信息的方式，变得更像大脑,北京 东城区,女,0.989341689
24年08月14日 12:00,昆仑万维也进军AI搜索啦，感兴趣的朋友快去试试吧！😉,来自安徽,昆仑万维也进军AI搜索啦，感兴趣的朋友快去试试吧！😉,北京 东城区,女,0.985421539
24年08月14日 11:54,微软必应的AI搜索用了感觉还不错，找到资料很快！👍😊,来自贵州,微软必应的AI搜索用了感觉还不错，找到资料很快！👍😊,北京,女,0.995919887
24年08月13日 16:32,薪酬是很高，你得有真本事才拿的到。,来自广东,薪酬是很高，你得有真本事才拿的到。,广东,男,0.685638439
24年08月13日 17:18,"感觉AI现在发展的已经越来越厉害了<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />反正我是不太敢去用的",来自江西,感觉AI现在发展的已经越来越厉害了[鼓掌]反正我是不太敢去用的,北京 东城区,女,0.27291187
24年08月13日 16:56,AI还是蛮火的呀，在不同的行业都可以运用,来自辽宁,AI还是蛮火的呀，在不同的行业都可以运用,北京 东城区,女,0.739459588
24年08月13日 16:38,AI现在越来越多的应用范围了 我觉得还是很值得期待的呢！！,来自广东,AI现在越来越多的应用范围了 我觉得还是很值得期待的呢！！,北京 东城区,女,0.864091721
24年08月13日 16:36,我一个人对ai没什么看法，想让朋友给我科普一下,来自安徽,我一个人对ai没什么看法，想让朋友给我科普一下,北京 东城区,女,0.983106649
24年08月13日 16:20,年轻人迷上AI占卜，寻找内心宁静的力量,来自陕西,年轻人迷上AI占卜，寻找内心宁静的力量,北京 东城区,女,0.999845032
24年08月13日 16:07,AI占卜也能玩出新花样？🤔感觉像是在玩神秘游戏呀！,来自江苏,AI占卜也能玩出新花样？🤔感觉像是在玩神秘游戏呀！,北京 东城区,女,0.997485575
24年08月13日 16:00,AI占卜让年轻人找到了古老的答案，真棒！😊,来自辽宁,AI占卜让年轻人找到了古老的答案，真棒！😊,北京 东城区,女,0.949909499
24年08月13日 15:54,人工智能 玄学，这种结合既时尚又吸引人啊！😎,来自江苏,人工智能 玄学，这种结合既时尚又吸引人啊！😎,北京 东城区,女,0.979964743
24年08月13日 15:48,AI占卜让年轻人有了对未来的预测，这是多么神奇的能力啊！🔮,来自云南,AI占卜让年轻人有了对未来的预测，这是多么神奇的能力啊！🔮,北京 东城区,女,0.999843283
24年08月13日 15:46,"<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />看视频是挺好玩的 但是作为学生 我也尝试过 哈哈哈 完犊子了 不论怎么着都是💩",来自江西,[二哈]看视频是挺好玩的 但是作为学生 我也尝试过 哈哈哈 完犊子了 不论怎么着都是💩,北京 东城区,女,0.999291001
24年08月13日 15:29,年轻人一直在想怎么样才能过得更好？确实只要有钱就会过得很幸福,来自贵州,年轻人一直在想怎么样才能过得更好？确实只要有钱就会过得很幸福,北京 东城区,女,0.996849741
24年08月13日 15:25,AI现在确实是挺火的 但也不是说任何人随便糊弄得了,来自安徽,AI现在确实是挺火的 但也不是说任何人随便糊弄得了,北京 东城区,女,0.130503183
24年08月13日 15:20,心灵慰藉与现实生活,来自贵州,心灵慰藉与现实生活,北京 东城区,女,0.990678652
24年08月13日 15:12,"现在越来越多的宝宝们也开始注意到AI了呀 真是奇妙的现象 <img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自云南,现在越来越多的宝宝们也开始注意到AI了呀 真是奇妙的现象 [笑cry],北京 东城区,女,0.944458556
24年08月13日 14:49,科技与玄学的碰撞,来自广东,科技与玄学的碰撞,北京 东城区,女,0.958921339
24年08月13日 14:39,现代人对未知充满好奇,来自云南,现代人对未知充满好奇,北京 东城区,女,0.954747668
24年08月13日 14:34,AI占卜真的准吗？,来自安徽,AI占卜真的准吗？,北京 东城区,女,0.466981247
24年08月13日 11:18,哇哦 AI生的照片好高级,来自安徽,哇哦 AI生的照片好高级,北京 东城区,女,0.449337382
24年08月13日 11:18,现在的人工智能真的太牛啦,来自云南,现在的人工智能真的太牛啦,北京 东城区,女,0.437615402
24年08月13日 11:15,啊这……这就涉及到我的专业知识领域啦,来自云南,啊这……这就涉及到我的专业知识领域啦,北京 东城区,女,0.999435091
24年08月13日 11:14,这照片看着好舒服,来自广东,这照片看着好舒服,北京 东城区,女,0.791754885
24年08月13日 11:13,哇塞 这照片好高级啊,来自贵州,哇塞 这照片好高级啊,北京 东城区,女,0.34716496
24年08月13日 11:05,这照片太好看了吧,来自广东,这照片太好看了吧,北京 东城区,女,0.468713574
24年08月13日 10:59,栩栩如生的情侣照，时尚大片也是用Flux AI生成的吗？👫✨,来自河北,栩栩如生的情侣照，时尚大片也是用Flux AI生成的吗？👫✨,北京 东城区,女,0.857863015
24年08月13日 10:58,哇塞 这都能识别出来,来自江苏,哇塞 这都能识别出来,北京 东城区,女,0.37376537
24年08月13日 10:57,太棒了这照片简直是懒人福音,来自天津,太棒了这照片简直是懒人福音,北京,女,0.857285367
24年08月13日 10:50,惊了！负责人脸代码的AI也太牛了吧，Flux厉害💻🤖,来自江西,惊了！负责人脸代码的AI也太牛了吧，Flux厉害💻🤖,北京 东城区,女,0.271096277
24年08月13日 10:47,现在的人工智能这么牛了吗,来自云南,现在的人工智能这么牛了吗,北京 东城区,女,0.618477751
24年08月13日 10:47,太厉害了，希望我也能有这样一张照片,来自陕西,太厉害了，希望我也能有这样一张照片,北京 东城区,女,0.098749348
24年08月13日 10:40,这图片太假了，看得出来，可惜我找不到证据,来自安徽,这图片太假了，看得出来，可惜我找不到证据,北京 东城区,女,0.26626803
24年08月13日 10:39,最近在关注这个flux的人工智能文章,来自江苏,最近在关注这个flux的人工智能文章,北京 东城区,女,0.83037406
24年08月13日 10:35,这个照片太好看啦,来自江苏,这个照片太好看啦,北京 东城区,女,0.46676353
24年08月13日 10:33,这个照片看起来不像ai生成的吧,来自江西,这个照片看起来不像ai生成的吧,北京 东城区,女,0.103573726
24年08月13日 10:30,太牛啦,来自江苏,太牛啦,北京 东城区,女,0.440218598
24年08月13日 10:27,哇塞 这照片真好看,来自江苏,哇塞 这照片真好看,北京 东城区,女,0.566108896
24年08月13日 10:25,真是恐怖，就像真人一样，而且永远不会犯错,来自江西,真是恐怖，就像真人一样，而且永远不会犯错,北京 东城区,女,0.887346014
24年08月12日 16:00,"这年头，连螺丝侠也要过AI面试关，刘闯兄，你的“拧螺丝功”准备好了吗？<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自吃瓜罗伯特,这年头，连螺丝侠也要过AI面试关，刘闯兄，你的“拧螺丝功”准备好了吗？[哈哈],北京,女,0.74715106
24年08月12日 22:47,"你再取一个试试呢<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自四川,你再取一个试试呢[允悲],其他,女,0.987874142
24年08月12日 19:42,授课是需要场域能量的，AI肯定能够辅助教学，但不可能完全替代教师。教师传道、授业、解惑。“传道”职能不能被代替，因为人要存在于群体和人际关系中。,来自河北,授课是需要场域能量的，AI肯定能够辅助教学，但不可能完全替代教师。教师传道、授业、解惑。“传道”职能不能被代替，因为人要存在于群体和人际关系中。,河北,女,0.999998884
24年08月12日 18:42,"因材施教？一个班不都教的一样么<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自上海,因材施教？一个班不都教的一样么[doge],上海,男,0.667642651
24年08月12日 16:45,"不会以为老师的作用就是传授知识吧<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自福建,不会以为老师的作用就是传授知识吧[允悲],其他,男,0.999915282
24年08月12日 16:18,"必须从现在开始进行改进了<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自福建,必须从现在开始进行改进了[good],北京 东城区,女,0.560248006
24年08月12日 16:13,我觉得AI未来能取代真人教师，毕竟现在很多工作都可以通过机器人或者智能软件完成，只要需要人工参与的地方都完全可以替代,来自山东,我觉得AI未来能取代真人教师，毕竟现在很多工作都可以通过机器人或者智能软件完成，只要需要人工参与的地方都完全可以替代,北京 东城区,女,0.99989271
24年08月12日 15:59,目前来看还只是概念吧，什么时候真正应用到现实中，使用频率还是很低，而且容易出问题,来自安徽,目前来看还只是概念吧，什么时候真正应用到现实中，使用频率还是很低，而且容易出问题,北京 东城区,女,0.926798308
24年08月12日 15:57,"我觉得可以呀 感觉ai会更智能<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自浙江,我觉得可以呀 感觉ai会更智能[doge],其他,女,0.639868808
24年08月12日 15:55,"AI现在越来越多了 教育也越来越数字化了 能不能干点啥出来<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自广东,AI现在越来越多了 教育也越来越数字化了 能不能干点啥出来[二哈],北京 东城区,女,0.329523775
24年08月12日 15:48,"未来AI老师还会抢真人教师饭碗吗？😅<a href=""//s.weibo.com/weibo?q=%23%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%20%23"" target=""_blank"">#人工智能 #</a>时尚新课堂",来自江苏,未来AI老师还会抢真人教师饭碗吗？😅#人工智能 #时尚新课堂,北京 东城区,女,0.999982501
24年08月12日 15:32,AI未来要取代真人教师？莫非是幻想？,来自江西,AI未来要取代真人教师？莫非是幻想？,北京 东城区,女,0.99889229
24年08月12日 15:04,AI 教育，让未来更加精彩！,来自天津,AI 教育，让未来更加精彩！,北京,女,0.983006279
24年08月12日 15:04,这个ai是跟chatGPT一样能跟人互动的吗,来自江西,这个ai是跟chatGPT一样能跟人互动的吗,北京 东城区,女,0.780242088
24年08月12日 15:02,这个ai系统的知识面咋样啊,来自安徽,这个ai系统的知识面咋样啊,北京 东城区,女,0.181197219
24年08月12日 15:00,你好，人工智能时代！,来自贵州,你好，人工智能时代！,北京,女,0.823459566
24年08月12日 14:55,这个系统的知识更新速度咋样,来自辽宁,这个系统的知识更新速度咋样,北京 东城区,女,0.375863206
24年08月12日 14:51,人工智能真的能教数学和英语吗？期待成效！💻📚,来自天津,人工智能真的能教数学和英语吗？期待成效！💻📚,北京,女,0.986473992
24年08月12日 14:51,这跟上网课有什么区别啊,来自辽宁,这跟上网课有什么区别啊,北京 东城区,女,0.734610871
24年08月12日 14:50,这个能实现全球同步上课么,来自江苏,这个能实现全球同步上课么,北京 东城区,女,0.947451399
24年08月12日 14:50,这个能应用到国内的教育领域嘛,来自广东,这个能应用到国内的教育领域嘛,北京 东城区,女,0.996943516
24年08月12日 14:48,这个课是免费的么,来自河北,这个课是免费的么,北京 东城区,女,0.729644996
24年08月12日 14:48,这个课听起来很高级,来自江西,这个课听起来很高级,北京 东城区,女,0.787419403
24年08月12日 14:48,用AI系统讲课，伦敦一学校试点首个AI课堂，这也太酷了吧！,来自江苏,用AI系统讲课，伦敦一学校试点首个AI课堂，这也太酷了吧！,北京 东城区,女,0.99722783
24年08月12日 14:48,请问这个ai系统的知识更新速度怎么样,来自贵州,请问这个ai系统的知识更新速度怎么样,北京 东城区,女,0.253094544
24年08月12日 14:44,哇！这是不是意味着以后我们的课堂上会有更多有趣的互动环节呢,来自云南,哇！这是不是意味着以后我们的课堂上会有更多有趣的互动环节呢,北京 东城区,女,0.990449968
24年08月12日 14:42,我也想体验一下，毕竟AI领域发展这么快，迟早会应用于教育领域,来自辽宁,我也想体验一下，毕竟AI领域发展这么快，迟早会应用于教育领域,北京 东城区,女,0.999995844
24年08月12日 14:39,有没有可能以后出国留学就用这个ai替代老师了,来自云南,有没有可能以后出国留学就用这个ai替代老师了,北京 东城区,女,0.997794977
24年08月12日 14:38,想知道这个系统的优势在哪,来自江西,想知道这个系统的优势在哪,北京 东城区,女,0.431318208
24年08月12日 14:30,AI 教育，让未来更加精彩，也让我们更加期待智能化的教育方式！,来自江西,AI 教育，让未来更加精彩，也让我们更加期待智能化的教育方式！,北京 东城区,女,0.998522178
24年08月12日 14:29,想试试这个系统的直播课,来自云南,想试试这个系统的直播课,北京,女,0.657530561
24年08月12日 14:20,这个ai老师会不会太冷漠了呀,来自安徽,这个ai老师会不会太冷漠了呀,北京 东城区,女,0.555825389
24年08月12日 14:17,科技日新月异，AI＋教育，未来可期,来自江苏,科技日新月异，AI＋教育，未来可期,北京 东城区,女,0.984873567
24年08月12日 14:16,这个ai授课是知识星汇的产品么,来自安徽,这个ai授课是知识星汇的产品么,北京 东城区,女,0.68021419
24年08月12日 14:12,这算是把教育资源更公平地分配给每个需要帮助的孩子了吗,来自江西,这算是把教育资源更公平地分配给每个需要帮助的孩子了吗,北京 东城区,女,0.860154336
24年08月12日 14:10,哇！这是要未来的趋势么,来自安徽,哇！这是要未来的趋势么,北京 东城区,女,0.918161042
24年08月12日 13:30,我投给了“支持，AI指导更精准”~,来自江苏,我投给了“支持，AI指导更精准”~,江苏 南京,男,0.976621121
24年08月12日 14:23,全部用ai再也不用人类工作   继续挤压人类就业空间就好了,来自云南,全部用ai再也不用人类工作   继续挤压人类就业空间就好了,云南 红河,女,0.997915185
24年08月12日 14:09,"除非ai能特别精准的接管车辆，不然的话还是教练来吧。新学员一慌真的特别容易出事<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /> 有个教练在副驾驶还有一套控制保底。",来自辽宁,除非ai能特别精准的接管车辆，不然的话还是教练来吧。新学员一慌真的特别容易出事[二哈] 有个教练在副驾驶还有一套控制保底。,辽宁,男,0.93578006
24年08月12日 12:41,这以后出事了算谁的责任呢？,来自福建,这以后出事了算谁的责任呢？,北京 东城区,女,0.30731793
24年08月12日 12:35,支持驾校用AI取代教练，让驾驶更加轻松！,来自广东,支持驾校用AI取代教练，让驾驶更加轻松！,北京 东城区,女,0.939204795
24年08月12日 12:32,AI教练让考试难度降低，拿证时间变得更短，不错！,来自北京,AI教练让考试难度降低，拿证时间变得更短，不错！,其他,女,0.998526503
24年08月12日 12:25,AI教练让考试更容易，让驾驶更安全！👍,来自江西,AI教练让考试更容易，让驾驶更安全！👍,北京 东城区,女,0.975404809
24年08月12日 12:22,杭州驾校用AI，时尚与智慧齐飞 🚗🤖,来自云南,杭州驾校用AI，时尚与智慧齐飞 🚗🤖,北京 东城区,女,0.934520605
24年08月12日 12:15,这样高科技很厉害呀，以后会越来越好,来自辽宁,这样高科技很厉害呀，以后会越来越好,北京 东城区,女,0.927856638
24年08月12日 12:06,终于有了AI教练，学车再也不愁了！,来自云南,终于有了AI教练，学车再也不愁了！,北京 东城区,女,0.962671513
24年08月12日 11:54,感觉这AI教练比真人教练更加耐心，解答问题更细致,来自贵州,感觉这AI教练比真人教练更加耐心，解答问题更细致,北京 东城区,女,0.998323622
24年08月12日 12:03,教练不在的时候可以用AI代替,来自江西,教练不在的时候可以用AI代替,江西 赣州,女,0.708592331
24年08月12日 12:20,杭州真先进，这AI教练超前卫！👾,来自云南,杭州真先进，这AI教练超前卫！👾,北京 东城区,女,0.971611873
24年08月12日 12:18,这个技术也算是辅助手段了 真的能开车了还是得靠人,来自浙江,这个技术也算是辅助手段了 真的能开车了还是得靠人,其他,女,0.610133617
24年08月12日 12:06,这还真是第一次听说呢，不过也挺高科技的呀！,来自辽宁,这还真是第一次听说呢，不过也挺高科技的呀！,北京 东城区,女,0.950162984
24年08月12日 12:04,"对于我这种初学者来说，选对一个好的教练很重要<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自江西,对于我这种初学者来说，选对一个好的教练很重要[允悲],北京 东城区,女,0.999975435
24年08月12日 11:59,AI教练太酷了，驾考有望变简单！🚗😄,来自辽宁,AI教练太酷了，驾考有望变简单！🚗😄,北京 东城区,女,0.967344647
24年08月12日 11:32,没想到现在很多的地方都开始科技化了，太厉害了,来自江西,没想到现在很多的地方都开始科技化了，太厉害了,北京 东城区,女,0.516591654
24年08月12日 11:31,驾照考试也能用人工智能，厉害了！🤖🎓,来自广东,驾照考试也能用人工智能，厉害了！🤖🎓,北京 东城区,女,0.759217784
24年08月09日 22:34,让AI去消费吧！,来自河南,让AI去消费吧！,河南 洛阳,女,0.223073026
24年08月09日 15:33,吗了,来自上海,吗了,上海 长宁区,男,0.526232782
24年08月07日 17:08,"<a href=/n/我的Notion usercard=""name=@我的Notion"">@我的Notion</a> <a href=""//s.weibo.com/weibo?q=%23ExtractMD%23"" target=""_blank"">#ExtractMD#</a>",来自美国,@我的Notion #ExtractMD#,海外,女,0.802085927
24年08月09日 07:52,"<a href=/n/我的印象笔记 usercard=""name=@我的印象笔记"">@我的印象笔记</a>",来自北京,@我的印象笔记,河南 许昌,男,0.951607583
24年08月09日 15:49,我觉得这样的测试还是很有必要的，通过测试可以知道这款产品的具体能力如何了,来自江西,我觉得这样的测试还是很有必要的，通过测试可以知道这款产品的具体能力如何了,北京 东城区,女,0.990645584
24年08月09日 15:47,真羡慕这个 AI 模型能过中国法考，这模型肯定很厉害吧！,来自江苏,真羡慕这个 AI 模型能过中国法考，这模型肯定很厉害吧！,北京 东城区,女,0.999825558
24年08月09日 15:38,看了测评，感觉这个 AI 模型还是挺厉害的！,来自安徽,看了测评，感觉这个 AI 模型还是挺厉害的！,北京 东城区,女,0.977606426
24年08月09日 15:36,感觉这种测评挺有意义，大家一起来看看这个产品的具体能力,来自江西,感觉这种测评挺有意义，大家一起来看看这个产品的具体能力,北京 东城区,女,0.980230453
24年08月09日 15:33,首次通过中国法考，恭喜法观 AI 模型！,来自江西,首次通过中国法考，恭喜法观 AI 模型！,北京 东城区,女,0.996899607
24年08月09日 15:25,法观AI这么厉害，法考都能过，服了👏强👏,来自辽宁,法观AI这么厉害，法考都能过，服了👏强👏,北京 东城区,女,0.979863556
24年08月09日 15:00,AI过法考，以后律师会有机器人吗？😳,来自贵州,AI过法考，以后律师会有机器人吗？😳,北京 东城区,女,0.96843366
24年08月09日 11:54,"但是AI也不错，起码可以整治那些职场中仗着某些人的关系欺软怕硬的小人，难道她们那会儿还会把气撒在机器人身上，对机器人一顿拳打脚踢吗<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自四川,但是AI也不错，起码可以整治那些职场中仗着某些人的关系欺软怕硬的小人，难道她们那会儿还会把气撒在机器人身上，对机器人一顿拳打脚踢吗[赞],甘肃 定西,女,0.949986376
24年08月09日 21:37,"小米售后害人不浅，官方投诉无门<a href=/n/卢伟冰 usercard=""name=@卢伟冰"">@卢伟冰</a> <a href=/n/雷军 usercard=""name=@雷军"">@雷军</a> ​​​",来自安徽,小米售后害人不浅，官方投诉无门@卢伟冰 @雷军 ​​​,安徽 滁州,男,0.86619465
24年08月09日 12:11,我觉得AI还是挺大的影响呀  我身边很多人都在用,来自河北,我觉得AI还是挺大的影响呀  我身边很多人都在用,北京 东城区,女,0.936019819
24年08月09日 12:03,AI的广泛应用正在改变我们的世界，它为我们的生活带来了许多便利和选择,来自广东,AI的广泛应用正在改变我们的世界，它为我们的生活带来了许多便利和选择,北京 东城区,女,0.998851269
24年08月09日 12:01,对于我这种经常熬夜的人来说，确实可以帮我减少一些负担,来自辽宁,对于我这种经常熬夜的人来说，确实可以帮我减少一些负担,北京 东城区,女,0.987646513
24年08月09日 12:00,AI技术真是太棒了，工作效率更高，而且便于精确分析数据,来自安徽,AI技术真是太棒了，工作效率更高，而且便于精确分析数据,北京 东城区,女,0.999738241
24年08月09日 11:59,人工智能优化了时尚业的设计流程，提升了效率,来自贵州,人工智能优化了时尚业的设计流程，提升了效率,北京 东城区,女,0.99330531
24年08月09日 11:58,AI的广泛应用已经改变了我们的生活方式，让我们更加便捷地获取信息和服务,来自山东,AI的广泛应用已经改变了我们的生活方式，让我们更加便捷地获取信息和服务,北京 东城区,女,0.998033063
24年08月09日 11:57,AI对于时尚产业的影响非常大，款式推荐更加个性化,来自浙江,AI对于时尚产业的影响非常大，款式推荐更加个性化,其他,女,0.925704551
24年08月09日 11:32,"AI在金融行业的应用真是不可小觑，有种无所不能的感觉<img alt=""[星星]"" title=""[星星]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/76/hot_star171109_org.png"" />",来自辽宁,AI在金融行业的应用真是不可小觑，有种无所不能的感觉[星星],北京 东城区,女,0.997009767
24年08月09日 11:29,AI不仅提高了工作效率，还有助于缩小人力差距，值得重视,来自江西,AI不仅提高了工作效率，还有助于缩小人力差距，值得重视,北京 东城区,女,0.920309448
24年08月09日 15:44,"。。。有病不会以为金融保险分析数据和个会计一样按着规矩模式化处理吧<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />",来自重庆,。。。有病不会以为金融保险分析数据和个会计一样按着规矩模式化处理吧[费解][doge][费解],重庆 沙坪坝区,女,0.994528171
24年08月09日 12:10,这AI有点东西,来自北京,这AI有点东西,北京 东城区,女,0.413150657
